sas_column,description,data_type,worksheet_code,worksheet_name,line_num,column_num,column_header,category,subcategory
E3_4_SUB2_C1_5,Subprovider 2 | Line 5 | Col 1,NUMERIC,E32D184,"E-3, Part IV: Settlement - Subprovider 2",00500,00100,Amount,LTCH PPS,nan
E3_4_SUB2_C1_50,Subprovider 2 | Line 50 | Col 1,NUMERIC,E32D184,"E-3, Part IV: Settlement - Subprovider 2",05000,00100,Amount,LTCH PPS,nan
E3_4_SUB2_C1_51,Subprovider 2 | Line 51 | Col 1,NUMERIC,E32D184,"E-3, Part IV: Settlement - Subprovider 2",05100,00100,Amount,LTCH PPS,nan
E3_4_SUB2_C1_52,Subprovider 2 | Line 52 | Col 1,NUMERIC,E32D184,"E-3, Part IV: Settlement - Subprovider 2",05200,00100,Amount,LTCH PPS,nan
E3_4_SUB2_C1_53,Subprovider 2 | Line 53 | Col 1,NUMERIC,E32D184,"E-3, Part IV: Settlement - Subprovider 2",05300,00100,Amount,LTCH PPS,nan
E3_4_SUB2_C1_6,Subprovider 2 | Line 6 | Col 1,NUMERIC,E32D184,"E-3, Part IV: Settlement - Subprovider 2",00600,00100,Amount,LTCH PPS,nan
E3_4_SUB2_C1_7,Subprovider 2 | Line 7 | Col 1,NUMERIC,E32D184,"E-3, Part IV: Settlement - Subprovider 2",00700,00100,Amount,LTCH PPS,nan
E3_4_SUB2_C1_8,Subprovider 2 | Line 8 | Col 1,NUMERIC,E32D184,"E-3, Part IV: Settlement - Subprovider 2",00800,00100,Amount,LTCH PPS,nan
E3_4_SUB2_C1_9,Subprovider 2 | Line 9 | Col 1,NUMERIC,E32D184,"E-3, Part IV: Settlement - Subprovider 2",00900,00100,Amount,LTCH PPS,nan
E3_5_C1_10,Line 10 | Col 1,NUMERIC,E30A185,"E-3, Part V: Settlement - Hospital",01000,00100,Amount,nan,nan
E3_5_C1_11,Line 11 | Col 1,NUMERIC,E30A185,"E-3, Part V: Settlement - Hospital",01100,00100,Amount,nan,nan
E3_5_C1_12,Line 12 | Col 1,NUMERIC,E30A185,"E-3, Part V: Settlement - Hospital",01200,00100,Amount,nan,nan
E3_5_C1_13,Line 13 | Col 1,NUMERIC,E30A185,"E-3, Part V: Settlement - Hospital",01300,00100,Amount,nan,nan
E3_5_C1_14,Line 14 | Col 1,NUMERIC,E30A185,"E-3, Part V: Settlement - Hospital",01400,00100,Amount,nan,nan
E3_5_C1_15,Line 15 | Col 1,NUMERIC,E30A185,"E-3, Part V: Settlement - Hospital",01500,00100,Amount,nan,nan
E3_5_C1_16,Line 16 | Col 1,NUMERIC,E30A185,"E-3, Part V: Settlement - Hospital",01600,00100,Amount,nan,nan
E3_5_C1_17,Line 17 | Col 1,NUMERIC,E30A185,"E-3, Part V: Settlement - Hospital",01700,00100,Amount,nan,nan
E3_5_C1_18,Line 18 | Col 1,NUMERIC,E30A185,"E-3, Part V: Settlement - Hospital",01800,00100,Amount,nan,nan
E3_5_C1_2,Line 2 | Col 1,NUMERIC,E30A185,"E-3, Part V: Settlement - Hospital",00200,00100,Amount,nan,nan
E3_5_C1_21,Line 21 | Col 1,NUMERIC,E30A185,"E-3, Part V: Settlement - Hospital",02100,00100,Amount,nan,nan
E3_5_C1_23,Line 23 | Col 1,NUMERIC,E30A185,"E-3, Part V: Settlement - Hospital",02300,00100,Amount,nan,nan
E3_5_C1_29,Line 29 | Col 1,NUMERIC,E30A185,"E-3, Part V: Settlement - Hospital",02900,00100,Amount,nan,nan
E3_5_C1_3,Line 3 | Col 1,NUMERIC,E30A185,"E-3, Part V: Settlement - Hospital",00300,00100,Amount,nan,nan
E3_5_C1_32,Line 32 | Col 1,NUMERIC,E30A185,"E-3, Part V: Settlement - Hospital",03200,00100,Amount,nan,nan
E3_5_C1_34,Line 34 | Col 1,NUMERIC,E30A185,"E-3, Part V: Settlement - Hospital",03400,00100,Amount,nan,nan
E3_5_C1_7,Line 7 | Col 1,NUMERIC,E30A185,"E-3, Part V: Settlement - Hospital",00700,00100,Amount,nan,nan
E3_5_C1_8,Line 8 | Col 1,NUMERIC,E30A185,"E-3, Part V: Settlement - Hospital",00800,00100,Amount,nan,nan
E3_5_C1_9,Line 9 | Col 1,NUMERIC,E30A185,"E-3, Part V: Settlement - Hospital",00900,00100,Amount,nan,nan
E3_6_SNF_C1_11,Skilled Nursing Facility | Line 11 | Col 1,NUMERIC,E30E186,"E-3, Part VI: Settlement - SNF",01100,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT,nan
E3_6_SNF_C1_13,Skilled Nursing Facility | Line 13 | Col 1,NUMERIC,E30E186,"E-3, Part VI: Settlement - SNF",01300,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT,nan
E3_6_SNF_C1_17,Skilled Nursing Facility | Line 17 | Col 1,NUMERIC,E30E186,"E-3, Part VI: Settlement - SNF",01700,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT,nan
E3_6_SNF_C1_19,Skilled Nursing Facility | Line 19 | Col 1,NUMERIC,E30E186,"E-3, Part VI: Settlement - SNF",01900,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT,nan
E3_6_SNF_C1_2,Skilled Nursing Facility | Line 2 | Col 1,NUMERIC,E30E186,"E-3, Part VI: Settlement - SNF",00200,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT,nan
E3_6_SNF_C1_5,Skilled Nursing Facility | Line 5 | Col 1,NUMERIC,E30E186,"E-3, Part VI: Settlement - SNF",00500,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT,nan
E3_6_SNF_C1_6,Skilled Nursing Facility | Line 6 | Col 1,NUMERIC,E30E186,"E-3, Part VI: Settlement - SNF",00600,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT,nan
E4_C1_10,Line 10 | Col 1,NUMERIC,E40A180,E-4: DSH Payment Adjustment,01000,00100,Amount / Factor,nan,nan
E4_C1_30,Line 30 | Col 1,NUMERIC,E40A180,E-4: DSH Payment Adjustment,03000,00100,Amount / Factor,nan,nan
E4_C1_301,Line 3.01 | Col 1,NUMERIC,E40A180,E-4: DSH Payment Adjustment,00301,00100,Amount / Factor,nan,nan
E4_C1_31,Line 31 | Col 1,NUMERIC,E40A180,E-4: DSH Payment Adjustment,03100,00100,Amount / Factor,nan,nan
E4_C1_32,Line 32 | Col 1,NUMERIC,E40A180,E-4: DSH Payment Adjustment,03200,00100,Amount / Factor,nan,nan
E4_C1_34,Line 34 | Col 1,NUMERIC,E40A180,E-4: DSH Payment Adjustment,03400,00100,Amount / Factor,nan,nan
E4_C1_35,Line 35 | Col 1,NUMERIC,E40A180,E-4: DSH Payment Adjustment,03500,00100,Amount / Factor,nan,nan
E4_C1_36,Line 36 | Col 1,NUMERIC,E40A180,E-4: DSH Payment Adjustment,03600,00100,Amount / Factor,nan,nan
E4_C1_38,Line 38 | Col 1,NUMERIC,E40A180,E-4: DSH Payment Adjustment,03800,00100,Amount / Factor,nan,nan
