sas_column,worksheet,worksheet_code,line_raw,line,col_raw,col,line_name,col_name,category,subcategory,data_type,status
rpt_rec_num,,,,,,,Report Record Number,,HOSPITAL IDENTIFICATION INFORMATION,,ID,ID_FIELD
prvdr_num,,,,,,,Hospital Provider Number,,HOSPITAL IDENTIFICATION INFORMATION,,ID,ID_FIELD
fi_num,,,,,,,Fiscal Intermediary Number,,HOSPITAL IDENTIFICATION INFORMATION,,ID,ID_FIELD
rpt_stus_cd,,,,,,,Report Status Code,,HOSPITAL IDENTIFICATION INFORMATION,,ID,ID_FIELD
fi_creat_dt,,,,,,,Fiscal Intermediary/MAC Create Date,,HOSPITAL IDENTIFICATION INFORMATION,,ID,ID_FIELD
fy_bgn_dt,,,,,,,Fiscal Year Begin Date,,HOSPITAL IDENTIFICATION INFORMATION,,ID,ID_FIELD
fy_end_dt,,,,,,,Fiscal Year End Date,,HOSPITAL IDENTIFICATION INFORMATION,,ID,ID_FIELD
util_cd,,,,,,,"Utilization Code (F=Full, L=Low Medicare)",,,,ID,ID_FIELD
trnsmtl_num,,,,,,,Transmittal Number,,HOSPITAL IDENTIFICATION INFORMATION,,ID,ID_FIELD
proc_dt,,,,,,,Processing Date,,,,ID,ID_FIELD
msa,,,,,,,Metropolitan Statistical Area Code,,HOSPITAL IDENTIFICATION INFORMATION,,ID,ID_FIELD
_NAME_,,,,,,,SAS Internal Row Identifier,,,,ID,ID_FIELD
A8_C2_3,A-8: Adjustments to Expenses,A800000,00300,3,00200,2,Investment Income-Other,Reclassification,ADJUSTMENTS,,NUMERIC,COMPLETE
A8_C2_4,A-8: Adjustments to Expenses,A800000,00400,4,00200,2,"Trade, Quantity, and Time Discounts",Reclassification,ADJUSTMENTS,,NUMERIC,COMPLETE
A8_C2_5,A-8: Adjustments to Expenses,A800000,00500,5,00200,2,Refunds and Rebates of Expenses,Reclassification,ADJUSTMENTS,,NUMERIC,COMPLETE
A8_C2_6,A-8: Adjustments to Expenses,A800000,00600,6,00200,2,Rental of Provider space by suppliers,Reclassification,ADJUSTMENTS,,NUMERIC,COMPLETE
A8_C2_7,A-8: Adjustments to Expenses,A800000,00700,7,00200,2,Telephone Services,Reclassification,ADJUSTMENTS,,NUMERIC,COMPLETE
A8_C2_8,A-8: Adjustments to Expenses,A800000,00800,8,00200,2,Television and Radio Service,Reclassification,ADJUSTMENTS,,NUMERIC,COMPLETE
A8_C2_9,A-8: Adjustments to Expenses,A800000,00900,9,00200,2,Parking Lot,Reclassification,ADJUSTMENTS,,NUMERIC,COMPLETE
A8_C2_10,A-8: Adjustments to Expenses,A800000,01000,10,00200,2,Provider-based physician adjustment,Reclassification,ADJUSTMENTS,,NUMERIC,COMPLETE
A8_C2_11,A-8: Adjustments to Expenses,A800000,01100,11,00200,2,"Sale of scrap, waste, etc.",Reclassification,ADJUSTMENTS,,NUMERIC,COMPLETE
A8_C2_12,A-8: Adjustments to Expenses,A800000,01200,12,00200,2,Related Organization Transactions,Reclassification,ADJUSTMENTS,,NUMERIC,COMPLETE
A8_C2_13,A-8: Adjustments to Expenses,A800000,01300,13,00200,2,Laundry and Linen Service,Reclassification,ADJUSTMENTS,,NUMERIC,COMPLETE
A8_C2_14,A-8: Adjustments to Expenses,A800000,01400,14,00200,2,Cafeteria employees and guests,Reclassification,ADJUSTMENTS,,NUMERIC,COMPLETE
A8_C2_15,A-8: Adjustments to Expenses,A800000,01500,15,00200,2,Rental of quarters to employee and oths,Reclassification,ADJUSTMENTS,,NUMERIC,COMPLETE
A8_C2_16,A-8: Adjustments to Expenses,A800000,01600,16,00200,2,Sale of medical and surgical supplies to,Reclassification,ADJUSTMENTS,,NUMERIC,COMPLETE
A8_C2_17,A-8: Adjustments to Expenses,A800000,01700,17,00200,2,Sale of drugs to other than patients,Reclassification,ADJUSTMENTS,,NUMERIC,COMPLETE
A8_C2_18,A-8: Adjustments to Expenses,A800000,01800,18,00200,2,Sale of medical records and abstracts,Reclassification,ADJUSTMENTS,,NUMERIC,COMPLETE
A8_C2_19,A-8: Adjustments to Expenses,A800000,01900,19,00200,2,Nursing School,Reclassification,ADJUSTMENTS,,NUMERIC,COMPLETE
A8_C2_20,A-8: Adjustments to Expenses,A800000,02000,20,00200,2,Vending Machines,Reclassification,ADJUSTMENTS,,NUMERIC,COMPLETE
A8_C2_21,A-8: Adjustments to Expenses,A800000,02100,21,00200,2,"Income from imposition of interest, finance",Reclassification,ADJUSTMENTS,,NUMERIC,COMPLETE
